Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1626192,Pat Connaughton,1610612766,CHA,G,32.0,12,9,0.424,0.83,2.08,0.4,0.345,0.055
2025-26,1626204,Larry Nance Jr.,1610612739,CLE,F-C,32.0,15,14,0.348,0.73,2.07,0.355,0.37,-0.016
2025-26,1642854,Asa Newell,1610612737,ATL,F,20.0,16,12,0.386,0.88,2.0,0.438,0.339,0.099
2025-26,201572,Brook Lopez,1610612746,LAC,C,37.0,21,16,0.268,0.57,2.0,0.286,0.346,-0.06
2025-26,1630164,James Wiseman,1610612754,IND,C,24.0,2,2,0.308,0.5,2.0,0.25,0.332,-0.082
2025-26,1641715,Cam Whitmore,1610612764,WAS,F,21.0,21,19,0.372,0.71,2.0,0.357,0.367,-0.01
2025-26,1631126,Caleb Love,1610612757,POR,G,24.0,19,15,0.376,0.63,2.0,0.316,0.354,-0.039
2025-26,1642918,Alijah Martin,1610612761,TOR,G,23.0,2,2,0.667,1.0,2.0,0.5,0.511,-0.011
2025-26,1630224,Jalen Green,1610612756,PHX,G,23.0,2,2,0.5,0.0,2.0,0.0,0.368,-0.368
2025-26,1642862,Liam McNeeley,1610612766,CHA,F,20.0,17,13,0.395,0.94,2.0,0.471,0.352,0.118
2025-26,1641765,Olivier-Maxence Prosper,1610612763,MEM,F,23.0,11,8,0.297,0.64,2.0,0.318,0.337,-0.019
2025-26,1642905,Yang Hansen,1610612757,POR,C,20.0,13,8,0.351,0.77,2.0,0.385,0.358,0.027
2025-26,1641725,Trey Alexander,1610612740,NOP,G,22.0,3,3,0.353,0.67,2.0,0.333,0.386,-0.053
2025-26,204456,T.J. McConnell,1610612754,IND,G,33.0,18,14,0.409,0.94,2.0,0.472,0.339,0.133
2025-26,1642914,Javon Small,1610612763,MEM,G,23.0,7,6,0.424,0.43,2.0,0.214,0.326,-0.111
2025-26,201599,DeAndre Jordan,1610612740,NOP,C,37.0,2,2,0.308,0.5,2.0,0.25,0.364,-0.114
2025-26,1629001,De'Anthony Melton,1610612744,GSW,G,27.0,6,4,0.255,0.67,2.0,0.333,0.358,-0.024
2025-26,1631342,Daeqwon Plowden,1610612758,SAC,G-F,27.0,1,1,0.667,0.0,2.0,0.0,0.4,-0.4
2025-26,203926,Doug McDermott,1610612758,SAC,F,33.0,1,1,0.667,0.0,2.0,0.0,0.476,-0.476
2025-26,1630538,Bones Hyland,1610612750,MIN,G,25.0,17,13,0.344,0.82,1.94,0.424,0.344,0.08
