NBA_ID,Season,Player,Free Throw Rating
2403,2013-14,Nene,73.3681850758475
2403,2014-15,Nene,73.50395454471217
2403,2015-16,Nene,53.380880907941936
2403,2016-17,Nene,54.838102622920005
2403,2017-18,Nene,62.79000813030312
2403,2018-19,Nene,67.8425046643313
2405,2013-14,Amare Stoudemire,78.18962271800092
2405,2014-15,Amare Stoudemire,77.60128304146443
2405,2015-16,Amare Stoudemire,76.52371975865603
2406,2013-14,Caron Butler,80.87195443531654
2406,2014-15,Caron Butler,82.89683500867558
2406,2015-16,Caron Butler,76.76058512024564
2408,2013-14,Melvin Ely,49.39104995725861
2419,2013-14,Tayshaun Prince,71.54039381911707
2419,2014-15,Tayshaun Prince,77.93838132134586
2419,2015-16,Tayshaun Prince,71.8542597390052
2422,2013-14,John Salmons,78.25971599561684
2422,2014-15,John Salmons,58.61929175473134
2427,2013-14,Roger Mason Jr,77.99900080136987
2430,2013-14,Carlos Boozer,78.86579091943022
2430,2014-15,Carlos Boozer,74.01671076169143
2440,2013-14,Matt Barnes,77.38354049769671
2440,2014-15,Matt Barnes,78.8079418198377
2440,2015-16,Matt Barnes,83.12359075022204
2440,2016-17,Matt Barnes,80.74901083050271
2446,2013-14,Rasual Butler,61.74238763558873
2446,2014-15,Rasual Butler,79.03638075570818
2446,2015-16,Rasual Butler,54.64373329561878
2449,2013-14,Luis Scola,77.32414361218355
2449,2014-15,Luis Scola,76.79199585942811
2449,2015-16,Luis Scola,74.2357916865854
2449,2016-17,Luis Scola,70.43990009614775
2457,2013-14,Jannero Pargo,75.6904796685847
2457,2014-15,Jannero Pargo,76.20549660282647
